Packet number,a_x,a_y,a_z,w_x,w_y,w_z
424,1568,60,16116,-93,-283,-10
425,1684,-12,16032,-122,-390,-23
426,1612,72,15964,-64,-309,-47
427,1624,-8,15944,-47,2,-32
428,1668,92,16188,-46,-38,35
429,1644,60,16008,-61,12,8
430,1724,28,16192,-6,11,-5
431,1680,12,16120,20,63,-28
432,1456,-8,16360,-4,-615,-20
433,1712,12,16116,5,-126,8
434,1720,104,16192,6,154,-25
435,1804,4,16044,-15,87,20
436,1632,20,16304,28,40,-20
437,1724,12,16084,52,63,-26
438,1764,96,16216,38,133,55
439,1700,48,16064,54,90,-2
440,1676,48,16196,36,107,-27
441,1716,32,16112,45,87,-28
442,1656,-28,16148,50,143,26
443,1756,36,16164,36,89,-9
444,1640,-52,16124,53,150,-63
445,1716,248,16172,-15,367,-866
446,1684,20,16272,41,217,-310
447,1692,16,16024,16,35,-21
448,1640,4,16196,10,180,31
449,1772,0,16100,-41,171,-43
450,1624,104,16324,-46,110,7
451,1652,36,16128,-32,3,5
452,1656,84,16300,-35,97,9
453,1744,56,16128,-52,162,9
454,1720,56,16172,-45,32,-18
455,1744,56,16224,-2,64,-6
456,1620,-28,16116,23,100,18
457,1628,-8,16072,22,176,-18
458,1708,-4,16244,39,8,-50
459,1688,112,16172,47,64,-83
460,1752,-4,16164,49,335,9
461,1632,116,16128,-7,230,42
462,1576,64,16212,-6,181,3
463,1668,-24,16068,-40,17,-26
464,1700,-36,16000,-18,-76,-45
465,1608,-64,16040,-7,-11,10
466,1624,4,16148,19,-10,33
467,1640,36,16096,8,90,36
468,1716,40,16048,-20,30,-24
469,1604,8,16044,-36,-5,-26
470,1660,124,16360,-35,41,-4
471,1648,16,16112,-13,-38,12
472,1720,200,16088,-13,-84,40
473,1608,-24,16228,-9,122,-10
474,1696,-88,16388,-1,123,6
475,1712,176,16048,-29,-100,35
476,1652,72,16016,-58,70,26
477,1688,56,16092,-19,99,-28
478,1740,-24,16136,-33,42,-14
479,1772,20,16028,-56,-3,-35
480,1576,8,16264,-73,204,2
481,1736,44,16024,-65,176,-8
482,1724,12,16004,-88,-22,-26
483,1768,112,15956,-31,42,-30
484,1696,44,16124,-44,-11,-10
485,1724,-12,16220,-19,41,52
486,1736,-16,16176,0,179,24
487,1700,16,16084,-6,98,-28
488,1624,96,16056,-48,-24,-32
489,1732,28,16100,-51,146,7
490,1780,28,16332,-33,31,-1
491,1640,36,16040,-46,189,16
492,1744,-104,16188,-50,119,10
493,1696,52,16108,-15,179,27
