Packet number,a_x,a_y,a_z,w_x,w_y,w_z
350,16932,1576,2600,-7,287,-138
351,16864,1452,2596,-7,-1600,-260
352,16396,1516,2272,63,1067,-244
353,16712,1792,1644,76,-359,-170
354,17452,1476,2976,57,494,135
355,17136,1704,2608,-65,37,18
356,16604,1640,2116,25,325,-7
357,17216,1580,2680,-22,1676,143
358,17204,1496,2976,-273,421,-4
359,17160,1604,2052,-81,-975,-122
360,17056,1560,2704,161,1269,-1
361,16800,1532,2444,101,-1111,-379
362,16720,1564,2448,42,-614,-263
363,16960,1576,2916,-219,377,-115
364,17120,1596,2804,-228,-39,-5
365,16828,1604,2568,-184,1964,-57
366,16600,1732,2316,-381,2123,-86
367,16656,1844,3352,-344,5046,311
368,17216,1820,2052,-28,16197,1534
369,17456,1140,6216,-343,19886,2317
370,16220,1024,6792,-1042,26111,3146
371,14640,580,9236,-849,32767,4362
372,12140,664,11388,-1192,26792,3998
373,9528,640,11356,-805,26376,2962
374,7776,140,14168,-363,26698,2222
375,6308,20,15520,-472,24465,1622
376,5940,-160,15192,-230,28546,2434
377,2516,-368,17012,-74,23871,1977
378,544,-224,17264,114,16808,527
379,104,-64,16452,192,8219,-69
380,-600,-184,16900,195,5459,-76
381,-164,-184,16504,17,3935,-63
382,-732,-60,16472,-163,2817,5
383,-1328,-4,15928,-1,1378,-258
384,-1140,-120,16160,-6,1235,-87
385,-924,-208,16452,46,676,-127
386,-1048,-232,16524,-146,652,-240
387,-1148,-164,16128,26,1155,7
388,-1232,-72,16064,157,1469,-60
389,-1016,-172,16292,-121,1183,26
390,-1588,52,16060,-131,-818,-274
391,-1704,-112,16712,-84,212,-456
392,-680,-176,16228,91,1830,-41
393,-1552,-100,15944,-78,-282,-336
394,-1572,-100,16284,-116,1182,-226
395,-1304,-120,16028,189,173,-181
396,-1692,-100,16004,340,-312,-126
397,-1340,-120,16132,694,51,-64
398,-1380,52,16140,1272,80,-87
399,-1400,196,16636,1810,-92,170
400,-2096,200,16820,2962,-275,356
401,-1652,788,17208,4610,1535,711
402,-1396,976,16812,7244,-1366,1108
403,-1236,2164,15520,10562,-539,1914
404,-952,2792,17944,11715,-2210,2365
405,-232,3764,16208,13267,-1197,2800
406,-1552,5112,14716,16302,-317,3088
407,208,6912,14236,17320,-1157,3936
408,1152,8240,13052,17981,-854,5021
409,568,10072,12496,18521,-2305,6343
410,-1044,10736,11032,19419,-195,3764
411,-488,11912,10032,21465,3375,-1178
412,1148,13896,9020,19848,-5229,2993
413,-48,13296,8116,17542,-386,2395
414,1640,14892,6948,15853,-1703,1026
415,2004,15224,7444,14294,-3897,1353
416,2448,15888,5428,12549,-2559,1001
417,2484,15940,4132,11581,-5220,976
418,2260,14776,1744,11146,-6647,1224
419,1844,16092,2884,10757,-5869,-1131
420,1484,16200,1300,8712,-4184,-2438
421,984,16528,1312,5048,-609,-2090
422,4728,18504,1156,2720,-2028,640
423,2088,16112,-60,241,-1786,1501
424,904,14804,-120,-928,755,-240
425,2756,16228,596,-1070,1885,-914
426,2712,16144,-224,-861,327,-164
427,1796,16024,-200,-508,1636,-184
428,2324,16436,188,-12,487,-38
429,2180,16476,-68,76,637,-76
430,2392,16632,164,125,1300,-121
431,1996,16048,-420,222,-361,880
432,2272,16312,68,-177,666,241
433,2636,16720,304,-220,709,617
434,2332,16440,-136,-150,-302,771
435,2852,16528,232,-293,304,344
436,2588,16324,52,-259,325,-73
437,2628,16020,-168,-525,-215,22
438,2540,16348,88,-725,646,-246
439,2476,16544,252,-686,680,-370
440,2260,16336,524,-605,676,-236
441,2688,16388,392,-633,375,-115
442,2340,16540,344,-48,341,-495
